Experiment,Error
exp_1,0.9898663971892985
exp_2,1.2886766228398894
exp_3,1.3056635449858307
exp_4,1.3569088288302737
exp_5,0.9924638818875905
exp_6,1.1804682019732486
exp_7,1.4218435844847788
exp_8,0.6616730029466013
exp_9,1.017090124507116
exp_10,0.6746786912610995
exp_11,0.7373244882246413
exp_12,0.9346940090119903
exp_13,0.6401856173203673
exp_14,1.1313538836939934
exp_15,0.9599669754626934
exp_16,0.6524947313022592
exp_17,1.206423805546107
exp_18,1.1222438364819582
exp_19,1.2500895228427253
exp_20,1.2468104160944817
exp_21,0.9631549694372613
exp_22,1.1793508516332791
exp_23,1.0709518877962534
exp_24,1.2433477602352867
exp_25,1.1776145638238062
exp_26,1.1091870181129044
exp_27,1.4859162844972957
exp_28,1.5063349347329928
exp_29,1.5631354657546699
exp_30,1.5639074444371373
exp_31,1.6516434174860186
exp_32,1.7392256386191067
exp_33,1.354480284300112
exp_34,1.272846117486136
exp_35,1.414252109234123
exp_36,1.0162864736220723
