x,y,z
1.271462,2.366466,0.04548079
1.428288,2.366232,0.02534348
2.66447,2.365559,0.2173187
2.645187,2.365905,0.315442
1.705238,1.221628,0.4311325
1.758211,1.171628,0.4208699
1.802353,1.142693,0.4555482
1.861056,1.171527,0.4161281
1.861725,1.221628,0.4127244
1.900476,1.13755,0.4748312
1.910255,1.221628,0.425067
1.912337,1.271628,0.4144735
1.959179,1.164728,0.435411
1.953975,1.171628,0.4618925
1.955166,1.221628,0.455833
1.934035,1.221628,0.4814262
1.954497,1.271628,0.459233
2.00824,1.139975,0.4450525
2.002137,1.171628,0.4761117
2.013023,1.221628,0.4207181
2.013873,1.271628,0.4163925
2.002341,1.271628,0.4750708
2.06579,1.171628,0.4115046
2.057302,1.138827,0.454694
2.118369,1.171628,0.4032459
2.116005,1.169015,0.4152738
2.106364,1.137063,0.4643355
2.099699,1.171628,0.4982514
2.116005,1.221114,0.4152738
2.116005,1.22268,0.4152738
2.169004,1.171628,0.4048779
2.165067,1.148604,0.4249154
2.160627,1.171628,0.447507
2.14028,1.171628,0.4710006
2.167799,1.221628,0.4110144
2.116319,1.221628,0.4153355
2.161749,1.221628,0.4417996
2.168771,1.271628,0.4060687
2.161026,1.271628,0.4454795
2.139965,1.271628,0.4709387
2.214128,1.142394,0.4345568
2.27119,1.171628,0.4034904
2.271101,1.221628,0.4039441
2.271818,1.271628,0.4002916
2.256957,1.271628,0.4759179
2.312252,1.137827,0.4538398
2.305734,1.171628,0.4870068
2.311602,1.221628,0.4027558
2.305539,1.221628,0.4879972
2.292001,1.271628,0.3989038
2.319474,1.271628,0.4170856
2.312252,1.256439,0.4538397
2.375964,1.171628,0.3889317
2.370955,1.145653,0.4144196
2.365946,1.171628,0.4399075
2.375477,1.221628,0.3914075
2.366433,1.221628,0.4374316
2.346409,1.221628,0.4605523
2.366281,1.271628,0.4382019
2.42566,1.171628,0.3953446
2.420016,1.142362,0.4240611
2.414373,1.171628,0.4527777
2.420016,1.200894,0.4240611
2.393967,1.221628,0.4189419
2.394737,1.271628,0.4190933
2.525026,1.171628,0.4083025
2.51814,1.135916,0.4433441
2.511253,1.171628,0.4783856
2.51814,1.20734,0.4433441
2.553181,1.171628,0.4502303
1.655168,1.424547,0.4266237
1.661206,1.371628,0.4278104
1.758665,1.421628,0.4185591
1.753291,1.445808,0.4459067
1.811075,1.471628,0.4111616
1.861063,1.421628,0.4160895
1.963928,1.421628,0.4112473
1.954655,1.421628,0.4584315
2.002386,1.471628,0.4748424
2.050991,1.421628,0.4868086
2.043905,1.471628,0.4011049
2.050931,1.471628,0.4871174
2.099736,1.321628,0.4980606
2.111917,1.421628,0.4360784
2.112038,1.471628,0.4354591
2.089725,1.471628,0.4610657
2.160091,1.371628,0.450236
2.140527,1.371628,0.4710491
2.171004,1.471628,0.3947034
2.256778,1.321628,0.4768257
2.272079,1.421628,0.3989682
2.256586,1.421628,0.4778054
2.272353,1.471628,0.3975713
2.319902,1.321628,0.4149089
2.32492,1.371628,0.3893764
2.282623,1.371628,0.3970608
2.318866,1.371628,0.4201798
2.295218,1.371628,0.4504924
2.288644,1.421628,0.3982441
2.319201,1.421628,0.4184765
2.324448,1.471628,0.3917779
2.312252,1.436427,0.4538397
2.305464,1.471628,0.4883797
2.37527,1.321628,0.3924618
2.36664,1.321628,0.4363773
2.370955,1.344006,0.4144196
2.337295,1.371628,0.4078048
2.366303,1.471628,0.43809
2.346792,1.471628,0.4606274
2.392912,1.321628,0.4187347
2.425808,1.471628,0.3945907
2.420016,1.441594,0.4240611
2.414225,1.471628,0.4535316
2.475504,1.471628,0.4010014
2.469078,1.438302,0.4337025
2.462651,1.471628,0.4664036
2.501779,1.471628,0.4401289
1.802353,1.499433,0.4555482
1.826801,1.521628,0.4093964
1.851414,1.502348,0.4651896
1.861056,1.533746,0.416128
1.912112,1.521628,0.4156193
1.906552,1.521628,0.4439104
1.910117,1.540116,0.4257695
1.963744,1.571628,0.4121805
1.934021,1.571628,0.4304669
1.954235,1.571628,0.4605693
1.959179,1.597268,0.435411
2.012855,1.521628,0.4215712
2.067606,1.521628,0.4022608
2.099629,1.521628,0.4986027
2.116005,1.566792,0.4152738
2.099736,1.571628,0.4980606
2.106364,1.605998,0.4643354
2.170113,1.521628,0.3992386
2.159787,1.521628,0.4517834
2.140631,1.521628,0.4710696
2.161793,1.571628,0.4415725
2.140089,1.571628,0.4709631
2.161091,1.621628,0.4241339
2.12074,1.621628,0.4671606
2.148609,1.621628,0.5086623
2.145971,1.671628,0.4211625
2.21831,1.571628,0.4132759
2.21036,1.571628,0.4537326
2.218612,1.621628,0.4117412
2.208551,1.621628,0.4629382
2.272107,1.521628,0.3988239
2.256883,1.521628,0.4762914
2.26319,1.554335,0.4441983
2.233304,1.571628,0.4383251
2.269628,1.621628,0.4114363
2.26319,1.588473,0.4441982
2.256797,1.621628,0.4767311
2.26788,1.671628,0.4203307
2.258168,1.671628,0.469755
2.297841,1.521628,0.4000514
2.289027,1.571628,0.3983193
2.277654,1.571628,0.4470407
2.305453,1.571628,0.4884372
2.321893,1.59391,0.4047781
2.320323,1.621628,0.4127696
2.31933,1.671628,0.4178227
2.306292,1.671628,0.4841687
2.373524,1.571628,0.4013434
2.367029,1.571628,0.4343957
2.346849,1.571628,0.4606387
2.367853,1.621628,0.4302046
2.346983,1.621628,0.460665
2.342581,1.671628,0.4597999
2.424011,1.671628,0.4037349
2.387259,1.671628,0.4176236
2.417984,1.671628,0.4344029
2.477872,1.621628,0.3889527
2.462479,1.621628,0.46728
2.430358,1.671628,0.4260934
2.502245,1.521628,0.4402204
2.502656,1.621628,0.4403011
2.165067,1.681033,0.4249153
2.312252,1.702537,0.4538397
2.384271,1.721628,0.4170365
2.475632,1.721628,0.4003518
2.469078,1.687378,0.4337025
2.462473,1.721628,0.4673097
2.469078,1.755878,0.4337025
2.502685,1.721628,0.440307
2.116005,2.366797,0.4152737
2.420016,2.366504,0.424061
2.391092,2.367023,0.5712458
2.489215,2.366984,0.5905287
1.548347,1.171628,0.4515966
1.515277,1.221628,0.4500892
1.545256,1.221628,0.4673277
1.511507,1.271628,0.4493483
1.546685,1.271628,0.4600589
1.604321,1.171628,0.4260646
1.596465,1.166574,0.4660439
1.592133,1.171628,0.4880838
1.635885,1.13874,0.5247471
1.63269,1.171628,0.5410045
1.640237,1.221628,0.5026025
1.694588,1.162158,0.4853269
1.688456,1.171628,0.5165301
1.684946,1.186358,0.5343886
1.681117,1.221628,0.553876
1.688545,1.271628,0.5160742
1.743649,1.137378,0.4949684
1.737045,1.171628,0.5285756
1.749202,1.221628,0.4667114
1.724651,1.221628,0.4912349
1.719554,1.221628,0.5411897
1.725335,1.271628,0.4913693
1.796773,1.171628,0.4839404
1.893904,1.171628,0.5082701
1.893969,1.271628,0.5079414
2.170282,1.121628,0.6576739
2.530969,1.071628,0.637354
2.482266,1.071628,0.6401198
1.544942,1.321628,0.4689272
1.602531,1.321628,0.4351765
1.592103,1.321628,0.4882373
1.596465,1.344246,0.4660439
1.639701,1.371628,0.5053263
1.645526,1.401836,0.4756854
1.688275,1.371628,0.5174486
1.701149,1.421628,0.4519398
1.694588,1.404364,0.4853269
1.748438,1.371628,0.4706012
1.748628,1.421628,0.4696333
1.797326,1.371628,0.4811257
1.796991,1.471628,0.4828312
1.8939,1.421628,0.5082943
1.913014,1.721628,0.6703279
2.11917,1.771628,0.6584578
2.016401,2.221628,0.662827
2.377089,2.171628,0.642507
2.428586,2.121628,0.6397457
1.056787,2.367737,0.3599877
1.577182,2.367863,0.564167
1.616602,2.368016,0.6228703
1.714726,2.367976,0.6421505
1.82249,2.367763,0.6123745
1.812856,2.367936,0.6614106
1.861921,2.324144,0.6712655
1.920614,2.367723,0.6316541
1.964933,2.321628,0.6654239
1.979316,2.36753,0.5922374
2.018746,2.367683,0.6509108
2.077439,2.36749,0.6115203
2.119528,2.321628,0.6566446
2.175566,2.36745,0.6307911
2.283327,2.367237,0.6010244
2.325654,2.321628,0.644939
2.381455,2.367197,0.6202937
2.428718,2.321628,0.6390862
2.431017,2.355132,0.6388464
2.531778,2.321628,0.6332337
1.294624,1.271632,0.7069123
1.500374,1.121628,0.6957169
1.088349,1.471628,0.7179744
1.142385,1.42166,0.7150686
1.19347,1.371655,0.7123306
1.347139,1.321644,0.7037669
1.345974,1.421628,0.7035072
1.673743,1.371628,0.6850567
1.861709,2.071628,0.6721007
1.294993,2.271628,0.7036317
1.462933,2.121628,0.6945836
0.9691594,2.36845,0.5465925
0.9595381,2.368623,0.595591
0.9498944,2.368796,0.6446597
0.998964,2.368776,0.6542763
0.9402365,2.368969,0.6937725
1.048,2.368756,0.6639988
1.038639,2.327571,0.7180074
1.146125,2.368716,0.6832762
1.191963,2.321628,0.7093198
1.214468,2.36835,0.5947999
1.244455,2.349714,0.706247
1.295026,2.321628,0.703467
1.30295,2.368483,0.6631429
1.401078,2.368443,0.682409
1.450277,2.343961,0.6945778
1.508838,2.368229,0.6526467
1.552683,2.321628,0.688835
1.606967,2.368189,0.6719101
1.656098,2.335979,0.6829153
1.758808,2.321628,0.6771294
0.9334967,1.071628,0.728072
1.036687,1.271628,0.7215601
0.9856101,1.971628,0.722179
2.777143,1.121603,0.2661921
2.750045,1.221628,0.2341358
2.775785,1.271604,0.234306
2.783116,1.12161,0.3898748
2.780698,1.171611,0.3385387
2.778206,1.221604,0.2856944
2.784866,1.221618,0.4235719
2.780793,1.271608,0.3379927
2.750632,1.271628,0.3871202
2.785778,1.121628,0.4449831
2.785963,1.271628,0.4450195
2.775913,1.371604,0.2344157
2.776328,1.42161,0.2417499
2.776672,1.471608,0.2476072
2.737809,1.471628,0.362718
2.733669,1.42246,0.3837867
2.780936,1.321616,0.3396895
2.754688,1.321628,0.3879173
2.784868,1.321619,0.4210941
2.781028,1.371619,0.3403142
2.750876,1.371628,0.3871682
2.784946,1.371619,0.421441
2.785505,1.471616,0.430487
2.786209,1.471628,0.4450681
2.776137,1.521608,0.2352661
2.733669,1.483375,0.3837867
2.776325,1.571611,0.2378831
2.781248,1.521623,0.3410845
2.783772,1.520423,0.3933778
2.781328,1.621618,0.3402219
2.776429,1.671619,0.2375154
2.779002,1.671628,0.2907827
2.781548,1.721628,0.3422394
2.779125,1.771628,0.2908069
2.783962,1.921628,0.3871624
2.77968,2.221628,0.290916
2.762603,2.365519,0.236573
2.752955,2.365692,0.2856528
2.777318,2.321628,0.2394952
2.782288,2.321628,0.3423848
2.773098,2.366191,0.4424614
2.664346,1.071628,0.4720763
2.786513,1.071607,0.4614854
2.737095,1.071628,0.6256484
2.73716,1.171628,0.6253187
2.7882,1.071628,0.4964162
2.793226,1.117413,0.5993162
2.790809,1.171628,0.5478851
2.73729,1.371628,0.6246595
2.793497,1.321628,0.5997618
2.791117,1.421628,0.5479457
2.737484,1.671628,0.6236706
2.793827,1.571627,0.6002657
2.788879,1.621628,0.4965495
2.737549,1.771628,0.623341
2.791487,1.721628,0.5480184
2.793818,1.721628,0.5963017
2.737711,2.021628,0.6225168
2.78931,1.971628,0.4966344
2.789372,2.021628,0.4966465
2.79448,2.071626,0.6011564
2.794218,1.921628,0.5995111
2.737808,2.171628,0.6220224
2.665324,2.366404,0.4722684
2.636838,2.352886,0.6271654
2.686374,2.321628,0.6244544
2.695103,2.36673,0.5800326
2.737906,2.321628,0.6215279
2.753807,2.366537,0.5406102
2.744167,2.36671,0.5896685
2.789742,2.321628,0.4967193
2.794707,2.333092,0.5992445
2.634389,1.621628,0.6296881
-4.025311,1.271627,-0.4870095
-3.819765,1.271627,-0.495537
-3.871075,1.371628,-0.493736
-3.973697,1.571627,-0.4901336
-4.024883,1.871628,-0.4889928
-3.71669,1.771628,-0.5014512
-4.024911,1.971626,-0.4893193
-3.973469,1.921627,-0.4912894
-3.926702,2.071563,-0.4937209
-3.870685,1.971628,-0.4957176
-3.767903,2.021627,-0.5001455
-3.924454,2.121593,-0.4939781
-3.941698,2.171548,-0.4934263
-3.922015,2.221626,-0.4944069
-3.962157,2.221564,-0.4927414
-3.966452,2.271567,-0.492727
-3.870588,2.121628,-0.4962129
-3.71643,2.171628,-0.5027724
-3.945545,2.32155,-0.4937583
-3.871308,2.321616,-0.496838
-3.878298,2.370259,-0.4569784
-3.829237,2.370239,-0.4473347
-3.767708,2.321628,-0.5011362
-3.770531,2.370046,-0.4867651
-3.716333,2.321628,-0.5032677
-4.161542,1.108664,-0.357657
-4.165319,1.171642,-0.4595264
-4.129811,1.221603,-0.4825103
-4.165095,1.271656,-0.4567403
-4.163264,1.271642,-0.4083088
-4.076737,1.121628,-0.4843845
-4.159586,1.17163,-0.3078862
-4.159467,1.221638,-0.3063128
-4.132984,1.321559,-0.4827059
-4.163234,1.321638,-0.4090865
-4.164973,1.371656,-0.4566513
-4.160063,1.371629,-0.3267736
-4.138537,1.421627,-0.4571601
-4.161181,1.421636,-0.3579206
-4.132318,1.471567,-0.4832249
-4.164851,1.471657,-0.4565645
-4.076948,1.321623,-0.4850309
-4.077141,1.421619,-0.4853505
-4.162923,1.521647,-0.4071304
-4.164776,1.571651,-0.4577245
-4.16103,1.541119,-0.3576763
-4.164721,1.62165,-0.4578239
-4.077147,1.521618,-0.4856778
-4.128759,1.521627,-0.4552384
-4.132562,1.721561,-0.4840338
-4.16457,1.721654,-0.4569616
-4.160864,1.721631,-0.3589393
-4.164576,1.771645,-0.4586923
-4.131063,1.821581,-0.4844236
-4.164514,1.821646,-0.4586212
-4.162588,1.821644,-0.4076731
-4.160771,1.821627,-0.3596163
-4.133231,1.871628,-0.4562127
-4.076523,1.771625,-0.4865227
-4.076615,1.821623,-0.4866827
-4.158813,1.82163,-0.3078429
-4.13428,1.871628,-0.4053672
-4.160461,2.021673,-0.357698
-4.078227,1.9216,-0.4869433
-4.115092,1.921627,-0.452553
-4.160573,1.921638,-0.3575122
-4.080312,1.971571,-0.4870206
-4.112012,1.971628,-0.4519475
-4.160501,1.97164,-0.3571883
-4.158605,1.971634,-0.3070318
-4.095497,2.021627,-0.4487019
