x,y,z
-0.1896708,2.350801,-1.151454
-0.2705694,2.349736,-1.287301
-0.5865317,2.342673,-2.497721
-0.4888428,2.343165,-2.519094
-0.005696207,1.203881,-1.697596
-0.03607184,1.1536,-1.741874
-0.02175805,1.124449,-1.796037
-0.08135983,1.152958,-1.83433
-0.08487383,1.203053,-1.83382
-0.04311469,1.1188,-1.893702
-0.09286937,1.202804,-1.883253
-0.1035411,1.252788,-1.881177
-0.1027123,1.145654,-1.931987
-0.0763652,1.152592,-1.937786
-0.08252296,1.202583,-1.936698
-0.05063367,1.202705,-1.927502
-0.079263,1.252587,-1.93767
-0.1133352,1.120648,-1.980717
-0.08249244,1.152347,-1.987628
-0.1377663,1.202264,-1.975795
-0.1421978,1.252257,-1.975084
-0.08377877,1.252344,-1.987863
-0.1670977,1.151984,-2.020301
-0.1240171,1.119247,-2.029556
-0.1956036,1.151705,-2.065247
-0.1836222,1.149109,-2.067854
-0.1346974,1.117231,-2.078392
-0.1010178,1.151845,-2.085938
-0.1837525,1.201208,-2.068095
-0.1837564,1.202773,-2.068103
-0.2142625,1.15144,-2.112347
-0.194256,1.128446,-2.116604
-0.1718217,1.151503,-2.121631
-0.1421702,1.151621,-2.112318
-0.2082781,1.201448,-2.113915
-0.1838221,1.20172,-2.06841
-0.1776289,1.201494,-2.12062
-0.2133269,1.25144,-2.113069
-0.1740904,1.251499,-2.121652
-0.1423518,1.251621,-2.112467
-0.2049252,1.121983,-2.16542
-0.2562111,1.150904,-2.205534
-0.2558844,1.200904,-2.205864
-0.2596458,1.250898,-2.2053
-0.1843537,1.25101,-2.221771
-0.2262833,1.116911,-2.263088
-0.1933473,1.150761,-2.270468
-0.2730965,1.200691,-2.242545
-0.1924862,1.200762,-2.270915
-0.2689528,1.250792,-2.223262
-0.2632097,1.250656,-2.255702
-0.22658,1.235521,-2.263636
-0.3112727,1.150349,-2.295852
-0.2858325,1.124411,-2.301283
-0.2605222,1.150424,-2.306954
-0.3089329,1.200352,-2.296623
-0.2631121,1.20042,-2.306646
-0.2339318,1.200535,-2.297482
-0.2624703,1.25042,-2.307045
-0.3251719,1.150091,-2.343993
-0.296509,1.120868,-2.350112
-0.2679925,1.150176,-2.356502
-0.2966554,1.179399,-2.350383
-0.2910341,1.200267,-2.324544
-0.2913269,1.250262,-2.325543
-0.3528385,1.149576,-2.440305
-0.3178624,1.113917,-2.447771
-0.283065,1.14968,-2.455568
-0.318041,1.18534,-2.448102
-0.3255832,1.149448,-2.482823
0.009591311,1.407058,-1.650808
0.008408695,1.354108,-1.656574
-0.03899774,1.403593,-1.742527
-0.01183137,1.427813,-1.748595
-0.06677124,1.453314,-1.787892
-0.08202377,1.403055,-1.835478
-0.1274118,1.402514,-1.927912
-0.08043608,1.402584,-1.938189
-0.08450639,1.452341,-1.988739
-0.09275165,1.402092,-2.037858
-0.168677,1.45209,-1.997474
-0.09256932,1.452092,-2.038157
-0.1015828,1.301843,-2.086591
-0.1635413,1.40175,-2.073554
-0.164283,1.451748,-2.07365
-0.1319107,1.451877,-2.063375
-0.1696049,1.351504,-2.123151
-0.1427242,1.351617,-2.113489
-0.2251422,1.451421,-2.111519
-0.1835749,1.301011,-2.222199
-0.2613385,1.400894,-2.205705
-0.1828496,1.401011,-2.222876
-0.2628543,1.450891,-2.205632
-0.2655018,1.300652,-2.255459
-0.2910466,1.350614,-2.250129
-0.2671605,1.350839,-2.214387
-0.2603792,1.350659,-2.256838
-0.2231585,1.350797,-2.247211
-0.2685968,1.400807,-2.220613
-0.2622001,1.400656,-2.256699
-0.2889058,1.450616,-2.251115
-0.2270301,1.415508,-2.264469
-0.1927308,1.450759,-2.272154
-0.3081334,1.300352,-2.297315
-0.2644118,1.300417,-2.306879
-0.2863286,1.322762,-2.3022
-0.2790671,1.350557,-2.268817
-0.2630819,1.450417,-2.307946
-0.2346404,1.45053,-2.299019
-0.2910546,1.300271,-2.323957
-0.3266728,1.450086,-2.345217
-0.2972575,1.420096,-2.351496
-0.2679923,1.450173,-2.358054
