x,y,z
0.03347871,2.357022,1.14614
0.0962014,2.356737,1.29128
0.2535843,2.355632,2.53234
0.1539553,2.355978,2.540946
-0.2172034,1.212012,1.669257
-0.1926928,1.161995,1.717309
-0.2138119,1.133043,1.769309
-0.1596938,1.16186,1.814831
-0.1562364,1.21196,1.81455
-0.2052066,1.127865,1.868937
-0.1546763,1.211943,1.864601
-0.1439187,1.261943,1.863689
-0.1510885,1.155026,1.914458
-0.1779762,1.161926,1.916782
-0.1718222,1.211926,1.916268
-0.2022609,1.211931,1.90304
-0.1752729,1.261926,1.916584
-0.1467865,1.130255,1.964264
-0.1783214,1.161909,1.966998
-0.1220763,1.211909,1.962157
-0.1176828,1.261909,1.961795
-0.1772616,1.261909,1.966941
-0.09863067,1.161891,2.010301
-0.1424838,1.12909,2.014078
-0.07615304,1.161874,2.058546
-0.0883657,1.159261,2.0596
-0.1381811,1.12731,2.063891
-0.1726166,1.161874,2.066878
-0.08836415,1.21136,2.059618
-0.08836409,1.212926,2.059618
-0.06371796,1.161857,2.107658
-0.08406356,1.138833,2.109407
-0.1070012,1.161857,2.111397
-0.1352057,1.161862,2.09834
-0.06994712,1.211857,2.108213
-0.08833665,1.211874,2.059937
-0.1012048,1.211857,2.110914
-0.06492412,1.261857,2.107797
-0.1049396,1.261857,2.111253
-0.1352303,1.261862,2.098055
-0.079761,1.132605,2.15922
-0.03412482,1.161822,2.205474
-0.03458399,1.211822,2.205531
-0.03087395,1.261822,2.205228
-0.1076608,1.261822,2.211861
-0.07115567,1.128004,2.258847
-0.1048307,1.161805,2.261768
-0.0222412,1.211809,2.244124
-0.1058349,1.211805,2.261872
-0.02395874,1.261816,2.22424
-0.0338335,1.261805,2.25567
-0.07115215,1.246616,2.258888
0.008841589,1.161788,2.302135
-0.01703823,1.135813,2.304362
-0.04291642,1.161788,2.306606
0.006329268,1.211788,2.30237
-0.04040113,1.211788,2.306406
-0.06815755,1.211793,2.293558
-0.04118171,1.261788,2.306491
0.01642255,1.161771,2.351667
-0.01273558,1.132505,2.354175
-0.04189193,1.161771,2.356704
-0.01273382,1.191036,2.354195
-0.01501778,1.21178,2.327753
-0.01494873,1.26178,2.328552
0.03145012,1.161736,2.450741
